conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;
1884846538163130608,Thu Jan 30 22:39:06 +0000 2025,2,@BaseAnakFK Kok bisa sih pemikirannya makan makan mulu sampe pendidikan dikesampingkan. Sejauh ini MBG juga kek gk ada gizi gizinya.. cuma sekeda makan isi perut. Udahhh.,1885095421984596094,,BaseAnakFK,in,,0,0,0,https://x.com/undefined/status/1885095421984596094,1044235615946997761,;;;;;
1884953522241728645,Thu Jan 30 22:38:53 +0000 2025,2,@kangsolci @FOODFESS2 Antek antek MBG,1885095368150634763,,kangsolci,in,,0,1,0,https://x.com/undefined/status/1885095368150634763,1258431252450783232,;;;;;
1884907967017075182,Thu Jan 30 22:36:23 +0000 2025,0,@Twillight_Loid Klo gak dibayar ya mmg susah mau nyediain makanan gaada modal trus bahannya MBG apa bisa ngutang dulu,1885094736782152046,,Twillight_Loid,in,,0,0,0,https://x.com/undefined/status/1885094736782152046,830087634709942273,;;;;;
1884879091381506198,Thu Jan 30 22:33:04 +0000 2025,0,@DS_yantie Terutama yg dilapangan yg menyediakan MBG harus dibenahi spy makanan biarpun sederhana tapi higienis makanan juga hrs dicuci bersih dan dimasak matang bukan setengah matang jgn sampe anak sekolah keracunan makanan krn pengolahan dilakukan secara sembrono,1885093904892256293,,DS_yantie,in,,0,0,0,https://x.com/undefined/status/1885093904892256293,830087634709942273,;;;;;
1885093742757233006,Thu Jan 30 22:32:26 +0000 2025,139,Di Hadapan Prabowo Listyo Pamer Program MBG yang Dilakukan TNI-Polri https://t.co/PiXF7hquem,1885093742757233006,,,in,,30,195,25,https://x.com/undefined/status/1885093742757233006,17128975,;;;;;
1885093581138071591,Thu Jan 30 22:31:47 +0000 2025,0,benci banget mbg. udah makanan yg dikasi gak layak sumber dananya hasil motong anggaran sana sini. makan tuh gemoy,1885093581138071591,,,in,,0,0,0,https://x.com/undefined/status/1885093581138071591,1073900936236490752,;;;;;
1884907967017075182,Thu Jan 30 22:25:00 +0000 2025,0,@Twillight_Loid si palkon buzzer mbg ma si wowo suruh bayarin,1885091871908913288,,Twillight_Loid,in,,0,0,0,https://x.com/undefined/status/1885091871908913288,1213472391386390528,;;;;;
1884907967017075182,Thu Jan 30 22:23:51 +0000 2025,2,@Twillight_Loid Sdh dr awal saya posting.. umkm jangan ambil project MBG. Akan rugi besar....1. Kena pajak penghasilan 2% 2. Pembayaran tempo 2-3 bulan.,1885091581973385649,,Twillight_Loid,in,,0,0,1,https://x.com/undefined/status/1885091581973385649,212854360,;;;;;
1884916211546476660,Thu Jan 30 22:17:22 +0000 2025,0,@choaciao Sabar pak melihat ambisi presiden sejauh ini cuma MBG .. mungkin harus menunggu rezim baru tp semoga sadar presiden sekarang,1885089951068676396,,choaciao,in,,0,0,0,https://x.com/undefined/status/1885089951068676396,455571937,;;;;;
1884907967017075182,Thu Jan 30 22:16:07 +0000 2025,0,@Twillight_Loid Pesen nasi box 20 ayam goreng aja kudu bayar DP 50% duluan paling lambat H-2. Pas nasi box dianterin harus langsung bayar pelunasanya. Lah MBG ‍️??,1885089636982370597,,Twillight_Loid,in,,0,0,0,https://x.com/undefined/status/1885089636982370597,1826513319941083136,;;;;;
1884846538163130608,Thu Jan 30 22:14:43 +0000 2025,0,@BaseAnakFK Ngga harusnya yg utama. MBG itu pendukung.,1885089286057582742,,BaseAnakFK,in,,0,0,0,https://x.com/undefined/status/1885089286057582742,1181009883409215488,;;;;;
1885087616837767281,Thu Jan 30 22:08:05 +0000 2025,0,Wkwkw udah ketebak banget. Event reguler aja kalo yg order dr instansi govt bayarnya selalu telat padahal udah jelas ada budgetnya. Apalagi mbg yg masih nyari budget ,1885087616837767281,,,in,,0,0,0,https://x.com/undefined/status/1885087616837767281,1311451039757815808,;;;;;
1884953522241728645,Thu Jan 30 22:04:39 +0000 2025,0,@thebadkop @FOODFESS2 ini kan MBG,1885086750277853499,,thebadkop,in,,0,0,0,https://x.com/undefined/status/1885086750277853499,379521021,;;;;;
1885086499336839350,Thu Jan 30 22:03:39 +0000 2025,0,Perspektifku pas jadi mahasiswa gizi ikutan proyek taburia pemerintah memang diriku juga kudu modal ongkos pribadi lama diganti honorku semester depan. Gitu juga vendor MBG ? Di lokasiku Makan Bergizi Gratis keadaannya begini di daerahmu gimana ? kalau lancar alhamdulillah ya.,1885086499336839350,,,in,,0,0,0,https://x.com/undefined/status/1885086499336839350,311250510,;;;;;
1885084058683924617,Thu Jan 30 21:53:57 +0000 2025,3,Biaya produksi per bulan 1 M suruh keluar modal dulu tapi gak jelas kapan mau dibayar. Itu baru sebulan lho! https://t.co/kDULGVJZG5,1885084058683924617,,,in,,0,0,3,https://x.com/undefined/status/1885084058683924617,1078958972969705472,;;;;;
1884871406342537636,Thu Jan 30 21:52:32 +0000 2025,1,@anggadwia_ Disini juga sama Pak datangnya dari level organisasinya bukan pemerintah. Bedanya disini masih bisa dirayakan pake MBG aja sih ,1885083704491651178,,anggadwia_,in,,0,1,0,https://x.com/undefined/status/1885083704491651178,249775725,;;;;;
1884667309962518746,Thu Jan 30 21:47:53 +0000 2025,0,@far_azh yang jelas bukan mbg!!,1885082530313101314,,far_azh,in,,0,0,0,https://x.com/undefined/status/1885082530313101314,876120878974590977,;;;;;
1885080206916153554,Thu Jan 30 21:38:39 +0000 2025,0,PLN sebagai BUMN terus mendukung penuh program Makan Bergizi Gratis (MBG) dari Pemerintah ini dengan memastikan pasokan listrik andal di 238 titik Satuan Pelayanan Pemenuhan Gizi (SPPG) di 31 provinsi. #AstaCitaPemerintah #MakanBergiziGratis #AnakGenerasiEmas #PLNDukungMBG https://t.co/IpkBeoJxrE,1885080206916153554,https://pbs.twimg.com/media/GikmdODbMAAV0xd.jpg,,in,,0,0,0,https://x.com/undefined/status/1885080206916153554,1764516958022856704,;;;;;
1885080105715982820,Thu Jan 30 21:38:14 +0000 2025,1,CAK IMIN TANGGAPI WACANA UMKM DIBERIKAN MODAL 500 JUTA PADA PROGRAM MBG https://t.co/V9ePZvVs3j via @TABLOID NUSANTARA #EkonomiBerkelanjutan,1885080105715982820,,,in,,0,0,0,https://x.com/undefined/status/1885080105715982820,1851297346724012032,;;;;;
1885079143320346718,Thu Jan 30 21:34:25 +0000 2025,0,Ini msh MBG gimana nanti PKG ya Alamat puyeng nih...,1885079143320346718,,,in,,0,0,0,https://x.com/undefined/status/1885079143320346718,57256340,;;;;;
1885076242484871299,Thu Jan 30 21:22:53 +0000 2025,4,MBG down bad OMG ,1885076242484871299,,,in,,0,0,0,https://x.com/undefined/status/1885076242484871299,1718976781749788672,;;;;;
1884907967017075182,Thu Jan 30 21:21:15 +0000 2025,3,@sastro_pecel @Twillight_Loid Lewat kementrian secara langsung apa bisa lebih baik? Wong itu tempatnya tikus-tikus lapar. Bisa-bisa ngasih 1000 paket MBG laporannya 1.000.000 paket.,1885075830508057030,,sastro_pecel,in,,0,1,0,https://x.com/undefined/status/1885075830508057030,1833388790867783680,;;;;;
1885074482962063871,Thu Jan 30 21:15:54 +0000 2025,0,Gue paham ketahanan pangan tuh penting tapi mbg bisa diapus aja ga?? Kesehatan ama pendidikan tuh nomer 1 harus didahulukan kepentingan utama dan mendesak ya 2 faktor itu. Kok bisa negara yg punya penduduk 270juta ini menjadikan kesehatan dan pendidikan jadi pendukung aja?,1885074482962063871,,,in,,0,2,0,https://x.com/undefined/status/1885074482962063871,1744628116851765248,;;;;;
1884953522241728645,Thu Jan 30 21:11:49 +0000 2025,0,@thebadkop @FOODFESS2 MBG ini mah awas bilang gak enak gw tabok lu pake palanya Dedi,1885073454669631839,,thebadkop,in,,0,0,0,https://x.com/undefined/status/1885073454669631839,1167169741871439873,;;;;;
1885073393256718754,Thu Jan 30 21:11:34 +0000 2025,0,Buat adik-adik mari kita ikuti Kids Day Competition. Catat tanggalnya : Minggu 2 Februari 2025 start di jam 10.30 wita di MBG Extension Lantai 2. #malbaligaleria #familymall #kidsdaycompetition https://t.co/zaBIdXYT9w,1885073393256718754,https://pbs.twimg.com/media/GikgP8Ba8AAN1ey.jpg,,in,,0,0,0,https://x.com/undefined/status/1885073393256718754,154431162,;;;;;
1885068814255349959,Thu Jan 30 20:53:22 +0000 2025,216,Program MBG Sukses di 100 Hari Pemerintahan Prabowo-Gibran Generasi Muda Semakin Kuat dan Sehat #MakanBergiziGratis https://t.co/8GxN4mo9nI,1885068814255349959,https://pbs.twimg.com/ext_tw_video_thumb/1885068605156667392/pu/img/2eC88lSsop-NS-z0.jpg,,in,,0,236,218,https://x.com/undefined/status/1885068814255349959,1283264969513906176,;;;;;
